_id,word,shortcut,locale
4,张小丽,zhangxiaoli,zh-CN
5,自杀小队,zishaxiaodui,zh-CN
6,葛城忍人,gechengrenren,zh-CN
7,佐佐木利佳,zuozuomulijia,zh-CN
8,小宇宙爆发,xiaoyuzhoubaofa,zh-CN
9,奥尔菲斯,aoerfeisi,zh-CN
10,中野百老汇,zhongyebailaohui,zh-CN
11,秘密警察福尔摩斯,mimijingchafuermosi,zh-CN
12,狐狸娶亲,huliquqin,zh-CN
13,董美娃,dongmeiwa,zh-CN
14,龙破斩,longpozhan,zh-CN
15,凯恩,kaien,zh-CN
16,英国恋物语,yingguolianwuyu,zh-CN
17,星座刑事,xingzuoxingshi,zh-CN
18,変爱事情,bianaishiqing,zh-CN
19,兽耳,shouer,zh-CN
20,龙之介,longzhijie,zh-CN
21,十二秘色调色盘,shiermisediaosepan,zh-CN
22,十二秘色调色盘,shierbisediaosepan,zh-CN
23,十二秘色调色盘,shiermisediaoshaipan,zh-CN
24,十二秘色调色盘,shierbisediaoshaipan,zh-CN
25,血参巫,xueshenwu,zh-CN
26,拉古,lagu,zh-CN
27,小野友树,xiaoyeyoushu,zh-CN
28,十二秘色调色盤,shiermisediaosepan,zh-CN
29,十二秘色调色盤,shierbisediaosepan,zh-CN
30,十二秘色调色盤,shiermisediaoshaipan,zh-CN
31,十二秘色调色盤,shierbisediaoshaipan,zh-CN
32,招金少女,zhaojinshaonv,zh-CN
33,贝利尔,beilier,zh-CN
34,天险刀藏,tianxiandaocang,zh-CN
35,天险刀藏,tianxiandaozang,zh-CN
36,路不平,lubuping,zh-CN
37,卡布达,kabuda,zh-CN
38,木曾,muzeng,zh-CN
39,木曾,muceng,zh-CN
40,自作聪明的笨猫,zizuocongmingdebenmao,zh-CN
41,自作聪明的笨猫,zizuocongmingdibenmao,zh-CN
42,南云熏,nanyunxun,zh-CN
43,恋目,lianmu,zh-CN
44,渡濑明日菜,dulaimingricai,zh-CN
45,对马雷奥,duimaleiao,zh-CN
46,对马雷奥,duimaleiyu,zh-CN
47,原嶋明里,yuandaomingli,zh-CN
48,有川博,youchuanbo,zh-CN
49,中心,zhongxin,zh-CN
50,逆光飞行,niguangfeixing,zh-CN
51,朵莱尔,duolaier,zh-CN
52,高宫钢太郎,gaogonggangtailang,zh-CN
53,古路迪,guludi,zh-CN
54,锅井真纪子,guojingzhenjizi,zh-CN
55,屁桃君,pitaojun,zh-CN
56,金子陵,jinziling,zh-CN
57,迪诺盔甲,dinuokuijia,zh-CN
58,犬耳娘,quanerniang,zh-CN
59,神奇的佐罗,shenqidezuoluo,zh-CN
60,莫将,mojiang,zh-CN
61,贝里,beili,zh-CN
62,兽兵卫忍风贴,shoubingweirenfengtie,zh-CN
63,烈火青春,liehuoqingchun,zh-CN
64,坂上智代,banshangzhidai,zh-CN
65,迷途之猫,mituzhimao,zh-CN
66,战争之王,zhanzhengzhiwang,zh-CN
67,自助餐,zizhucan,zh-CN
68,海棠亚树,haitangyashu,zh-CN
69,天野悠,tianyeyou,zh-CN
70,千叶刑事,qianyexingshi,zh-CN
71,外园纶花,waiyuanlunhua,zh-CN
72,外园纶花,waiyuanguanhua,zh-CN
73,玉树樱,yushuying,zh-CN
74,神奇蓝晶石之谜,shenqilanjingshizhimi,zh-CN
75,笨狗大兵,bengoudabing,zh-CN
76,爱情独裁者,aiqingducaizhe,zh-CN
77,辉夜姬物语,huiyejiwuyu,zh-CN
78,老摇椅上的汤姆,laoyaoyishangdetangmu,zh-CN
79,老摇椅上的汤姆,laoyaoyishangditangmu,zh-CN
80,古陵逝烟,gulingshiyan,zh-CN
81,水坂柚季,shuibanyouji,zh-CN
82,船原雪,chuanyuanxue,zh-CN
83,三角洲兽,sanjiaozhoushou,zh-CN
84,夏之涯,xiazhiya,zh-CN
85,猫猫果实,maomaoguoshi,zh-CN
86,牛佬,niulao,zh-CN
87,宅人统合思念体,zhairentonghesinianti,zh-CN
88,宅人统合思念体,zhairentonghesinianben,zh-CN
89,灰太狼,huitailang,zh-CN
90,戏曲动画集粹,xiqudonghuajicui,zh-CN
91,极黑之塔,jiheizhita,zh-CN
92,鹤贺学园,hehexueyuan,zh-CN
93,宁伯标,ningbobiao,zh-CN
94,宁伯标,ningbaibiao,zh-CN
95,宁伯标,ningbabiao,zh-CN
96,花中之王,huazhongzhiwang,zh-CN
97,被爱的感觉,beiaideganjue,zh-CN
98,酒波重一,jiubozhongyi,zh-CN
99,酒波重一,jiubochongyi,zh-CN
100,皇名月,huangmingyue,zh-CN
101,恋爱天堂,lianaitiantang,zh-CN
102,高槻佳乃,gaoguijianai,zh-CN
103,水蓝奇迹,shuilanqiji,zh-CN
104,式条纱织,shitiaoshazhi,zh-CN
105,一之濑琴美,yizhilaiqinmei,zh-CN
106,绯村剑心,feicunjianxin,zh-CN
107,町田安彦,dingtiananyan,zh-CN
108,町田安彦,tingtiananyan,zh-CN
109,知念宽,zhiniankuan,zh-CN
110,魔戒千一夜,mojieqianyiye,zh-CN
111,望月峰太郎,wangyuefengtailang,zh-CN
112,夜刀神使,yedaoshenshi,zh-CN
113,乾汁,qianzhi,zh-CN
114,乾汁,ganzhi,zh-CN
115,锦瑟犹声,jinseyousheng,zh-CN
116,久我原纱由奈,jiuwoyuanshayounai,zh-CN
117,岩崎征实,yanqizhengshi,zh-CN
118,天神耕介,tianshengengjie,zh-CN
119,红世罗,hongshiluo,zh-CN
120,绫女,lingnv,zh-CN
121,绫女,lingru,zh-CN
122,一色真人,yisezhenren,zh-CN
123,天津晓,tianjinxiao,zh-CN
124,大自然的魔兽巴奇,dazirandemoshoubaqi,zh-CN
125,大自然的魔兽巴奇,dazirandimoshoubaqi,zh-CN
126,樱庭佑司,yingtingyousi,zh-CN
127,妄想风纪委员,wangxiangfengjiweiyuan,zh-CN
128,帅的不行,shuaidebuxing,zh-CN
129,落合长治,luohechangzhi,zh-CN
130,落合长治,lahechangzhi,zh-CN
131,落合长治,laohechangzhi,zh-CN
132,落合长治,luogechangzhi,zh-CN
133,落合长治,lagechangzhi,zh-CN
134,落合长治,laogechangzhi,zh-CN
135,英国恋物语艾玛,yingguolianwuyuaima,zh-CN
136,虹音,hongyin,zh-CN
137,如果在梦里遇见你,ruguozaimengliyujianni,zh-CN
138,长谷部警部补,changgubujingbubu,zh-CN
139,无脸男,wuliannan,zh-CN
140,无脸男,moliannan,zh-CN
141,退灵之舞,tuilingzhiwu,zh-CN
142,美绪,meixu,zh-CN
143,地雷亚,dileiya,zh-CN
144,多路战龙兽,duoluzhanlongshou,zh-CN
145,魔物幻想,mowuhuanxiang,zh-CN
146,熙德传奇,xidechuanqi,zh-CN
147,贯一真,guanyizhen,zh-CN
148,明王传,mingwangchuan,zh-CN
149,明王传,mingwangzhuan,zh-CN
150,坪井千夏,pingjingqianxia,zh-CN
151,古人观舞,gurenguanwu,zh-CN
152,恶魔偶像,emoouxiang,zh-CN
153,阳明,yangming,zh-CN
154,猫魔人完全版,maomorenwanquanban,zh-CN
155,唯璃,weili,zh-CN
156,白纱窗之恋,baishachuangzhilian,zh-CN
157,鬼炼爪,guilianzhua,zh-CN
158,鬼炼爪,guilianzhao,zh-CN
159,上官寻命,shangguanxunming,zh-CN
160,红执事,hongzhishi,zh-CN
161,红执事,gongzhishi,zh-CN
162,围裙妈妈,weiqunmama,zh-CN
163,雨之子,yuzhizi,zh-CN
164,城镇毁灭者,chengzhenhuimiezhe,zh-CN
165,杀戮都市第二季,shaludushidierji,zh-CN
166,无色佛,wusefo,zh-CN
167,无色佛,wusefu,zh-CN
168,无色佛,wusebi,zh-CN
169,无色佛,wusebo,zh-CN
170,晓英,xiaoying,zh-CN
171,银色风拂纱梦,yinsefengfushameng,zh-CN
172,银色风拂纱梦,yinsefengbishameng,zh-CN
173,小野泽未来,xiaoyezeweilai,zh-CN
174,小野泽未来,xiaoyeshiweilai,zh-CN
175,周藤摩耶,zhoutengmoye,zh-CN
176,仙碧,xianbi,zh-CN
177,爱情倒带,aiqingdaodai,zh-CN
178,真爱必胜,zhenaibisheng,zh-CN
179,史隆,shilong,zh-CN
180,及川雪丽,jichuanxueli,zh-CN
181,三代目水影,sandaimushuiying,zh-CN
182,柯蒂妮娅,kediniya,zh-CN
183,旗派,qipai,zh-CN
184,旗派,qipa,zh-CN
185,山北早纪,shanbeizaoji,zh-CN
186,圣战教室,shengzhanjiaoshi,zh-CN
187,布鲁诺特,bulunuote,zh-CN
188,他化阐提,tahuachanti,zh-CN
189,他化阐提,tahuachandi,zh-CN
190,小智,xiaozhi,zh-CN
191,白河萤,baiheying,zh-CN
192,爱情的尽头,aiqingdejintou,zh-CN
193,爱情的尽头,aiqingdijintou,zh-CN
194,夏娃的时间剧场版,xiawadeshijianjuchangban,zh-CN
195,刀语,daoyu,zh-CN
196,一把鲜血,yibaxianxue,zh-CN
197,丹羽大助,danyudazhu,zh-CN
198,沃洛波罗斯之轮回,woluoboluosizhilunhui,zh-CN
199,安藤,anteng,zh-CN
200,帕拉古拉,palagula,zh-CN
201,虫族王子,chongzuwangzi,zh-CN
202,哈坎,hakan,zh-CN
203,绀野真琴,ganyezhenqin,zh-CN
204,匙元士郎,shiyuanshilang,zh-CN
205,匙元士郎,chiyuanshilang,zh-CN
206,宫本总司,gongbenzongsi,zh-CN
207,伯爵喜欢少年女仆,bojuexihuanshaoniannvpu,zh-CN
208,高仓花梨,gaocanghuali,zh-CN
209,宫森葵,gongsenkui,zh-CN
210,自深渊中,zishenyuanzhong,zh-CN
211,酷巴熊,kubaxiong,zh-CN
212,信浓晴岚,xinnongqinglan,zh-CN
213,信浓晴岚,shennongqinglan,zh-CN
214,夜幕环游,yemuhuanyou,zh-CN
215,人鱼之心,renyuzhixin,zh-CN
216,百合短篇三则,baiheduanpiansanze,zh-CN
217,直死之魔眼,zhisizhimoyan,zh-CN
218,信蜂,xinfeng,zh-CN
219,螺旋风琴,luoxuanfengqin,zh-CN
220,恶魔召唤师葛叶雷道对孤独之稀人,emozhaohuanshigeyeleidaoduiguduzhixiren,zh-CN
221,恶魔召唤师葛叶雷道对孤独之稀人,emozhaohuanshigexieleidaoduiguduzhixiren,zh-CN
222,女友失踪记,nvyoushizongji,zh-CN
223,戎马无疆,rongmawujiang,zh-CN
224,菊池心,juchixin,zh-CN
225,知惠留美子,zhihuiliumeizi,zh-CN
226,鬼畜版天线宝宝,guichubantianxianbaobao,zh-CN
227,耿言颢,gengyanhao,zh-CN
228,重生之野比大雄,chongshengzhiyebidaxiong,zh-CN
229,凛戒学园,linjiexueyuan,zh-CN
230,拜托了双子星,baituoleshuangzixing,zh-CN
231,爸爸的调情菜单,babadetiaoqingcaidan,zh-CN
232,青蛙的王子殿下,qingwadewangzidianxia,zh-CN
